quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y
B19,519,B19_519,B19_519,NONI,,Prior,0,340
B19,746,B19_746,B19_746,AMLU,,Prior,330,340
B19,8,B19_8,B19_8,CAPA,,Prior,120,250
B19,9,B19_9,B19_9,NONI,,Prior,460,470
B20,14,B20_14,B20_14,TEST,R1,Prior,145,40
B20,15,B20_15,B20_14,TEST,R1,Prior,125,0
B20,16,B20_16,B20_16,AMLU,,Prior,150,50
B20,18,B20_18,B20_18,NONI,,Prior,225,20
B20,19,B20_19,B20_19,-999,,Prior,100,50
B20,20,B20_20,B20_20,CAPA,,Prior,125,280
B20,21,B20_21,B20_21,AMLU,,Prior,214,400
B20,22,B20_22,B20_22,AMLU,,Prior,185,270
B20,23,B20_23,B20_23,AMLU,,Prior,40,330
C01,807,C01_807,C01_807,CRHO,,Prior,70,330
C01,808,C01_808,C01_808,-999,,Prior,65,310
C01,809,C01_809,C01_809,CRHO,,Prior,30,280
C01,810,C01_810,C01_810,CRHO,,Prior,360,345
C01,811,C01_811,C01_811,CRHO,,Prior,255,370
C01,812,C01_812,C01_812,CAPA,,Prior,240,230
C01,813,C01_813,C01_813,CRHO,,Prior,160,270
C01,814,C01_814,C01_814,-999,,Prior,230,170
C01,815,C01_815,C01_815,CAPA,,Prior,435,150
C01,816,C01_816,C01_816,CAPA,,Prior,435,130
C02,1407,C02_1407,C02_1407,CRHO,,Prior,500,140
C02,1408,C02_1408,C02_1408,CRHO,,Prior,500,210
C02,1409,C02_1409,C02_1409,CRHO,,Prior,460,230
C02,1458,C02_1458,C02_1458,CRHO,,Prior,500,190
C03,1027,C03_1027,C03_1027,NONI,,Prior,210,360
C04,1177,C04_1177,C04_1177,TEST,,Prior,220,310
C04,1178,C04_1178,C04_1178,TEST,,Prior,300,280
C04,1179,C04_1179,C04_1179,TEST,,Prior,340,280
C04,1180,C04_1180,C04_1180,PONU,,Prior,300,50
C04,1181,C04_1181,C04_1181,EUCO,,Prior,28,0
C05,911,C05_911,C05_911,DRWI,,Prior,0,4
C05,912,C05_912,C05_912,NONI,,Prior,323,410
C05,913,C05_913,C05_913,TEST,,Prior,410,350
C05,914,C05_914,C05_914,TEST,,Prior,460,280
C06,816,C06_816,C06_816,SACO,,Prior,190,175
C06,817,C06_817,C06_817,SACO,,Prior,60,80
C06,818,C06_818,C06_818,SACO,,Prior,60,108
C06,819,C06_819,C06_819,SACO,,Prior,36,98
C06,820,C06_820,C06_820,-999,,Prior,416,26
C07,288,C07_288,C07_288,CAPA,,Prior,180,250
C07,290,C07_290,C07_290,CAPA,,Prior,230,480
C07,391,C07_391,C07_391,TEST,,Prior,70,440
C07,392,C07_392,C07_392,PONU,,Prior,170,460
C08,514,C08_514,C08_514,NONI,,Prior,160,111
C08,582,C08_582,C08_582,SACO,,Prior,163,500
C08,584,C08_584,C08_584,TEST,,Prior,307,480
C08,585,C08_585,C08_585,DRWI,,Prior,457,449
C08,586,C08_586,C08_586,TEST,,Prior,422,284
C08,587,C08_587,C08_587,TEST,,Prior,286,309
C08,588,C08_588,C08_588,TEST,,Prior,186,179
C08,589,C08_589,C08_589,-999,,Prior,196,151
C08,590,C08_590,C08_590,TEST,,Prior,226,136
C08,592,C08_592,C08_592,TEST,,Prior,20,13
C08,593,C08_593,C08_593,SACO,,Prior,90,247
C08,594,C08_594,C08_594,SACO,,Prior,373,24
C09,2313,C09_2313,C09_2313,AMME,,Prior,370,140
C09,602,C09_602,C09_602,DRWI,,Prior,410,500
C09,603,C09_603,C09_603,DRWI,,Prior,10,310
C09,604,C09_604,C09_604,DRWI,,Prior,30,90
C09,605,C09_605,C09_605,DRWI,,Prior,100,200
C09,606,C09_606,C09_606,TEST,,Prior,90,110
C09,608,C09_608,C09_608,TEST,,Prior,160,120
C09,609,C09_609,C09_609,TEST,,Prior,240,340
C09,610,C09_610,C09_610,TEST,,Prior,340,340
C09,611,C09_611,C09_611,TEST,,Prior,420,430
C09,612,C09_612,C09_612,TEST,,Prior,410,350
C09,613,C09_613,C09_613,TEST,,Prior,400,290
C09,614,C09_614,C09_614,TEST,,Prior,330,270
C09,615,C09_615,C09_615,TEST,,Prior,410,226
C09,616,C09_616,C09_616,TEST,,Prior,420,185
C09,618,C09_618,C09_618,TEST,,Prior,390,130
C09,619,C09_619,C09_619,TEST,,Prior,300,30
C09,621,C09_621,C09_621,TEST,,Prior,490,260
C10,974,C10_974,C10_974,DRWI,R1,Prior,15,200
C10,975,C10_975,C10_974,DRWI,R1,Prior,10,220
C10,976,C10_976,C10_976,DRWI,,Prior,27,144
C10,977,C10_977,C10_977,-999,,Prior,70,30
C10,978,C10_978,C10_978,DRWI,,Prior,230,40
C10,979,C10_979,C10_979,DRWI,,Prior,255,80
C10,980,C10_980,C10_980,PONU,,Prior,375,12
C10,981,C10_981,C10_981,TEST,,Prior,224,185
C10,982,C10_982,C10_982,DRWI,,Prior,237,228
C10,983,C10_983,C10_983,DRWI,,Prior,310,150
C10,984,C10_984,C10_984,PONU,,Prior,475,470
C11,129,C11_129,C11_129,CRHO,,Prior,140,225
C11,130,C11_130,C11_130,NONI,,Prior,160,390
C11,131,C11_131,C11_131,DRWI,,Prior,355,345
C11,133,C11_133,C11_133,AMLU,,Prior,495,160
C11,134,C11_134,C11_135,PONU,R1,Prior,450,110
C11,135,C11_135,C11_135,PONU,R1,Prior,380,0
C11,136,C11_136,C11_135,PONU,R1,Prior,320,140
C12,415,C12_415,C12_415,TEST,,Prior,15,350
C12,416,C12_416,C12_416,NONI,,Prior,380,420
C12,417,C12_417,C12_417,CAPA,,Prior,440,400
C13,570,C13_570,C13_570,DRWI,,Prior,300,0
C13,571,C13_571,C13_571,DRWI,,Prior,50,460
C14,457,C14_457,C14_457,DRWI,,Prior,0,455
C14,458,C14_458,C14_458,AMLU,,Prior,80,350
C14,459,C14_459,C14_459,DRWI,,Prior,170,320
C14,460,C14_460,C14_460,CRHO,,Prior,120,320
C14,461,C14_461,C14_461,CRHO,,Prior,150,350
C14,462,C14_462,C14_462,DRWI,R1,Prior,170,330
C14,463,C14_463,C14_462,DRWI,R1,Prior,260,300
C14,464,C14_464,C14_464,DRWI,,Prior,270,410
C14,466,C14_466,C14_466,-999,,Prior,320,420
C14,467,C14_467,C14_467,DRWI,,Prior,370,340
C14,468,C14_468,C14_468,-999,,Prior,350,220
C14,469,C14_469,C14_469,DRWI,,Prior,460,460
C14,472,C14_472,C14_472,DRWI,,Prior,150,90
C14,473,C14_473,C14_473,DRWI,,Prior,240,80
C14,474,C14_474,C14_474,DRWI,,Prior,360,0
C15,134,C15_134,C15_134,NONI,,Prior,310,155
C15,135,C15_135,C15_135,NONI,,Prior,350,270
C15,136,C15_136,C15_136,NONI,,Prior,365,260
C15,137,C15_137,C15_137,NONI,,Prior,380,235
C15,138,C15_138,C15_138,AMLU,,Prior,480,305
C15,139,C15_139,C15_139,NONI,,Prior,440,30
C16,23,C16_23,C16_548,TEST,R1,Prior,35,450
C16,24,C16_24,C16_24,DRWI,,Prior,160,70
C16,548,C16_548,C16_548,TEST,R1,Prior,30,450
C16,552,C16_552,C16_71,TEST,R2,Prior,114,340
C16,553,C16_553,C16_553,TEST,,Prior,420,395
C16,554,C16_554,C16_554,TEST,,Prior,365,270
C16,555,C16_555,C16_555,TEST,,Prior,430,200
C16,556,C16_556,C16_556,DRWI,,Prior,450,350
C16,64,C16_64,C16_64,TEST,,Prior,470,430
C16,69,C16_69,C16_71,TEST,R2,Prior,110,440
C16,70,C16_70,C16_70,TEST,,Prior,43,330
C16,71,C16_71,C16_71,TEST,R2,Prior,90,400
C17,490,C17_490,C17_490,-999,,Prior,350,500
C17,520,C17_520,C17_520,TEST,,Prior,45,440
C17,521,C17_521,C17_521,CAPA,,Prior,20,480
C17,521-1,C17_521-1,C17_521-1,TEST,,Prior,30,475
C17,522,C17_522,C17_522,TEST,,Prior,145,410
C17,523,C17_523,C17_523,TEST,,Prior,170,450
C17,524,C17_524,C17_524,TEST,,Prior,355,270
C17,525,C17_525,C17_525,TEST,,Prior,330,240
C17,526,C17_526,C17_526,TEST,,Prior,465,220
C17,527,C17_527,C17_527,TEST,,Prior,440,45
C18,19,C18_19,C18_19,DRWI,,Prior,60,380
C18,2312,C18_2312,C18_2312,TEST,,Prior,185,0
C18,389,C18_389,C18_389,TEST,R1,Prior,0,460
C18,390,C18_390,C18_389,TEST,R1,Prior,20,470
C18,391,C18_391,C18_389,TEST,R1,Prior,10,410
C18,392,C18_392,C18_392,CAPA,,Prior,210,360
C18,393,C18_393,C18_393,PONU,,Prior,230,310
C18,397,C18_397,C18_397,CAPA,,Prior,290,170
C18,398,C18_398,C18_398,CAPA,,Prior,370,70
C18,399,C18_399,C18_399,CAPA,,Prior,330,50
C18,401,C18_401,C18_401,TEST,,Prior,260,0
C18,494,C18_494,C18_494,CAPA,,Prior,310,390
C18,495,C18_495,C18_495,CRHO,,Prior,170,400
C18,496,C18_496,C18_496,CRHO,,Prior,180,440
C18,95,C18_95,C18_95,CRHO,,Prior,430,410
C19,10,C19_10,C19_10,NONI,,Prior,310,320
C19,15,C19_15,C19_15,NONI,,Prior,340,380
