quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
E11,157,E11_157,E11_157,CRHO,,Prior,200,370,5.6,V,BD,I,,,2/4/2024,2024
E11,158,E11_158,E11_158,CRHO,,Prior,120,350,6.3,V,BD,I,,,2/4/2024,2024
E11,159,E11_159,E11_159,SACO,,Prior,245,425,6.5,M,-999,I,,DAP SIN MUSGO,2/4/2024,2024
E11,160,E11_160,E11_160,SACO,,Prior,315,380,12.7,V,CD,,,,2/4/2024,2024
E11,2320,E11_2320,E11_2320,NONI,,Prior,360,330,46.5,V,EM,,,corregir dap/chapa nueva 2320,2/4/2024,2024
E12,425,E12_425,E12_425,TEST,,Prior,220,0,11.9,V,IN,A,,,2/4/2024,2024
E12,426,E12_426,E12_426,NONI,,Prior,0,380,75.6,V,EM,,,coordenadas malas y: 380 x:0,2/4/2024,2024
E12,427,E12_427,E12_427,PONU,,Prior,40,270,6.3,V,BD,r,,,2/4/2024,2024
E12,428,E12_428,E12_428,SACO,,Prior,220,240,9.8,V,IN,r,,,2/4/2024,2024
E12,429,E12_429,E12_429,-999,,Prior,440,470,-999,M,-999,,,muerto ,2/4/2024,2024
E12,430,E12_430,E12_430,CRHO,,Prior,460,210,7,V,BD,I,,,2/4/2024,2024
E13,301,E13_301,E13_301,-999,,Prior,90,400,-999,M,-999,,,tronco suelto,2/4/2024,2024
E13,302,E13_302,E13_302,-999,,Prior,280,500,-999,M,-999,,,,2/4/2024,2024
E13,303,E13_303,E13_303,CRHO,,Prior,290,410,-999,M,-999,,,rama/tronco suelto podrido,2/4/2024,2024
E13,304,E13_304,E13_304,TEST,,Prior,440,265,-999,A,-999,-999,,no encontrado,2/4/2024,2024
E13,582,E13_582,E13_582,DRWI,,Prior,320,10,14.9,V,CD,r,,,2/4/2024,2024
E13,584,E13_584,E13_584,CAPA,,Prior,420,160,6.4,V,BD,r,C,caido,2/4/2024,2024
E13,585,E13_585,E13_585,CRHO,,Prior,365,220,5.9,V,BD,r,C,caido -> ramas encima,2/4/2024,2024
E13,586,E13_586,E13_586,CRHO,,Prior,390,220,7,V,BD,r,,,2/4/2024,2024
E13,587,E13_587,E13_587,-999,,Prior,240,280,-999,A,-999,-999,De,ramas encima,2/4/2024,2024
E13,588,E13_588,E13_588,CRHO,,Prior,100,260,-999,M,-999,I,,le cayeron ramas encimas,2/4/2024,2024
E14,479,E14_479,E14_479,CRHO,,Prior,230,170,8.1,V,BD,r,De,arbol encima de todo el cuadrante,2/4/2024,2024
E14,481,E14_481,E14_481,CRHO,,Prior,320,170,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E14,482,E14_482,E14_482,CRHO,,Prior,380,120,16.7,V,BD,I,De,ramas encima,2/4/2024,2024
E14,483,E14_483,E14_483,TEST,,Prior,410,170,9.8,V,BD,b,C,arbol caido,2/4/2024,2024
E14,484,E14_484,E14_484,RALA,,Prior,270,330,-999,A,-999,-999,De,arbol caido (no encontrado),2/4/2024,2024
E14,486,E14_486,E14_486,CAPA,,Prior,340,50,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,110,E15_110,E15_110,SACO,,Prior,80,340,-999,M,-999,,De,,2/4/2024,2024
E15,111,E15_111,E15_111,RALA,,Prior,55,160,9.2,Mo,BD,r,De,cayó arbol sobre toda la parcela,2/4/2024,2024
E15,112,E15_112,E15_112,RALA,,Prior,220,65,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,113,E15_113,E15_113,RALA,,Prior,270,50,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,114,E15_114,E15_114,RALA,,Prior,20,280,7.8,Mo,BD,I,De,cayo arbol encima,2/4/2024,2024
E15,141,E15_141,E15_141,SACO,,Prior,370,185,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,404,E15_404,E15_404,SACO,,Prior,375,180,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,405,E15_405,E15_405,TEST,,Prior,175,270,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,406,E15_406,E15_406,-999,,Prior,255,440,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,407,E15_407,E15_407,-999,,Prior,400,330,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,408,E15_408,E15_408,PONU,,Prior,270,400,15,Mo,DO,r,De,ramas secas,2/4/2024,2024
E15,473,E15_473,E15_473,PONU,,Prior,140,500,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E15,477,E15_477,E15_477,CAPA,,Prior,0,270,-999,A,-999,-999,De,no encontrado,2/4/2024,2024
E16,116,E16_116,E16_116,TEST,,Prior,73,360,8.5,V,IN,,,,2/4/2024,2024
E16,117,E16_117,E16_117,PONU,,Prior,60,250,32.7,V,CD,,,dap en chapa,2/4/2024,2024
E16,30,E16_30,E16_30,PONU,,Prior,38,100,7.9,V,BD,r,,,2/4/2024,2024
E16,410,E16_410,E16_410,TEST,,Prior,450,340,29,V,CD,,,,2/4/2024,2024
E16,469,E16_469,E16_469,PONU,,Prior,370,250,-999,A,-999,-999,,no encontrado,2/4/2024,2024
E16,470,E16_470,E16_470,PONU,,Prior,60,53,8.1,M,-999,,Dd,descabezado/ coordenadas malas ,2/4/2024,2024
E16,57,E16_57,E16_60,TEST,R1,Prior,450,440,12,V,CD,,,R1,2/4/2024,2024
E16,58,E16_58,E16_60,TEST,R1,Prior,450,410,15.7,V,CD,,,R1,2/4/2024,2024
E16,59,E16_59,E16_60,TEST,R1,Prior,450,390,11.1,V,CD,,,R1,2/4/2024,2024
E16,60,E16_60,E16_60,TEST,R1,Prior,450,360,32.7,V,CD,,,R1,2/4/2024,2024
E18,1322,E18_1322,E18_1322,TEST,,Prior,30,350,8.1,V,BD,I,,tiene una chapa 1322,2/4/2024,2024
E18,25,E18_25,E18_25,PONU,,Prior,60,330,23.3,V,EM,,,,2/4/2024,2024
E18,26,E18_26,E18_26,TEST,,Prior,180,200,13.4,V,DO,,,,2/4/2024,2024
E18,27,E18_27,E18_27,WETR,,Prior,210,320,105.5,V,EM,,,REBROTÓ LA COPA,2/4/2024,2024
E18,404,E18_404,E18_404,TEST,,Prior,310,120,-999,A,-999,-999,,no encontrado,2/4/2024,2024
E18,430,E18_430,E18_430,TEST,,Prior,160,190,-999,M,-999,,,,2/4/2024,2024
E18,431,E18_431,E18_431,TEST,,Prior,310,120,-999,A,-999,-999,,probablemente muerto,2/4/2024,2024
E18,433,E18_433,E18_433,TEST,,Prior,100,240,-999,A,-999,-999,,probablemente muerto,2/4/2024,2024
E18,434,E18_434,E18_434,TEST,,Prior,80,240,-999,M,-999,,,,2/4/2024,2024
E18,455,E18_455,E18_455,PONU,,Prior,20,110,7.3,V,CD,,,,2/4/2024,2024
E19,33,E19_33,E19_33,PONU,,Prior,470,25,-999,A,-999,-999,,no encontrado,2/4/2024,2024
E19,37,E19_37,E19_37,DRWI,,Prior,110,38,-999,M,-999,,,,2/4/2024,2024
E19,372,E19_372,E19_372,PONU,,Prior,310,120,7,V,IN,,,,2/4/2024,2024
E19,41,E19_41,E19_41,PONU,,Prior,350,475,32,V,DO,I,,dap mal medido,2/4/2024,2024
E19,438,E19_438,E19_438,CAPA,,Prior,90,20,-999,M,-999,,,cayeron ramas ,2/4/2024,2024
E19,440,E19_440,E19_440,DRWI,,Prior,180,100,-999,M,-999,r,,,2/4/2024,2024
E19,442,E19_442,E19_442,CAPA,,Prior,30,270,-999,M,-999,,,,2/4/2024,2024
E19,444,E19_444,E19_444,NONI,,Prior,90,360,24,V,CD,,,,2/4/2024,2024
E20,39,E20_39,E20_39,AMLU,,Prior,125,235,9.5,V,DO,,,,2/4/2024,2024
E20,41,E20_41,E20_41,PONU,,Prior,350,0,32.2,V,DO,,,medido dap en la chapa,2/4/2024,2024
E20,42,E20_42,E20_42,MYPA,,Prior,250,230,6.9,V,BD,I,,,2/4/2024,2024
E20,43,E20_43,E16_60,TEST,R1,Prior,240,465,9,V,BD,r,,R1,2/4/2024,2024
E20,44,E20_44,E16_60,TEST,R1,Prior,270,350,10,V,BD,r,,R1,2/4/2024,2024
E20,45,E20_45,E20_45,AMLU,,Prior,300,365,5.1,V,BD,I,,,2/4/2024,2024
E20,46,E20_46,E20_46,TEST,,Prior,350,400,9.4,Mo,BD,I,,,2/4/2024,2024
E20,47,E20_47,E20_47,AMLU,,Prior,350,350,9.2,V,IN,,,,2/4/2024,2024
E20,48,E20_48,E20_48,TEST,,Prior,470,60,9.3,V,BD,I,,,2/4/2024,2024
F01,824,F01_824,F01_824,PONU,,Prior,90,300,39.4,V,DO,,,,2/4/2024,2024
F01,825,F01_825,F01_825,PONU,,Prior,275,200,37.9,V,CD,Z,,,2/4/2024,2024
F01,826,F01_826,F01_826,NONI,,Prior,500,160,49.2,V,EM,,,,2/4/2024,2024
F02,1421,F02_1421,F02_1421,WETR,,Prior,370,400,7,V,BD,I,,,2/4/2024,2024
F02,1465,F02_1465,F02_1465,TEST,,Prior,270,190,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F02,2298,F02_2298,F02_2298,WETR,,Prior,290,410,11.6,V,CD,I,,se reemplaza placa a 2298,2/4/2024,2024
F03,1040,F03_1040,F03_1040,TEST,,Prior,155,465,14.1,V,IN,I,,,2/4/2024,2024
F03,1041,F03_1041,F03_1041,CAPA,,Prior,500,316,6.4,V,EM,,,,2/4/2024,2024
F03,1042,F03_1042,F03_1042,CAPA,,Prior,500,324,7,E,IN,,,,2/4/2024,2024
F03,1043,F03_1043,F03_1043,TEST,,Prior,344,10,11,V,BD,I,,,2/4/2024,2024
F04,1189,F04_1189,F04_1190,TEST,R1,Prior,390,400,10.7,V,CD,I,,mismo ind 1190,2/4/2024,2024
F04,1190,F04_1190,F04_1190,TEST,R1,Prior,370,400,13.1,V,CD,I,,,2/4/2024,2024
F04,1191,F04_1191,F04_1191,TEST,,Prior,300,350,16.3,M,BD,I,,,2/4/2024,2024
F04,1193,F04_1193,F04_1193,TEST,,Prior,330,270,18.6,V,DO,Z,,,2/4/2024,2024
F04,1194,F04_1194,F04_1194,TEST,,Prior,400,210,8,M,-999,,,,2/4/2024,2024
F05,922,F05_922,F05_922,TEST,,Prior,180,110,15.9,V,IN,I,,,2/4/2024,2024
F05,923,F05_923,F05_923,TEST,,Prior,270,80,15,V,BD,A,,,2/4/2024,2024
F05,924,F05_924,F05_924,NONI,,Prior,400,250,44.8,V,EM,r,,,2/4/2024,2024
F05,925,F05_925,F05_925,DRWI,,Prior,240,400,37.9,M,BD,I,,,2/4/2024,2024
F05,926,F05_926,F05_926,TEST,,Prior,60,380,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F05,927,F05_927,F05_927,SACO,,Prior,460,410,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F06,836,F06_836,F06_836,SACO,,Prior,250,430,11.4,V,BD,,,,2/4/2024,2024
F06,837,F06_837,F06_837,SACO,,Prior,420,290,6.8,V,BD,,,,2/4/2024,2024
F06,838,F06_838,F06_838,TEST,,Prior,450,270,17.6,V,DO,,,,2/4/2024,2024
F06,839,F06_839,F06_839,TEST,,Prior,500,272,8.1,M,-999,I,,,2/4/2024,2024
F06,840,F06_840,F06_840,TEST,,Prior,500,265,19.9,V,IN,,,,2/4/2024,2024
F06,841,F06_841,F06_841,TEST,,Prior,430,164,14.2,V,BD,I,,,2/4/2024,2024
F06,842,F06_842,F06_842,TEST,,Prior,320,156,7.6,V,BD,I,,,2/4/2024,2024
F06,843,F06_843,F06_843,NONI,,Prior,266,92,31.9,V,DO,,,,2/4/2024,2024
F06,844,F06_844,F06_844,TEST,,Prior,380,100,14.3,V,BD,r,,,2/4/2024,2024
F06,845,F06_845,F06_845,TEST,,Prior,380,70,9,V,BD,r,,,2/4/2024,2024
F06,846,F06_846,F06_846,TEST,,Prior,420,80,13.9,V,BD,r,,,2/4/2024,2024
F06,847,F06_847,F06_847,TEST,,Prior,450,50,21.5,V,BD,r,,,2/4/2024,2024
F07,201,F07_201,F07_201,-999,,Prior,20,90,38.3,M,-999,,Dq,DQ,2/4/2024,2024
F07,299,F07_299,F07_299,CRHO,,Prior,430,290,5.8,V,BD,I,,,2/4/2024,2024
F07,300,F07_300,F07_300,TEST,,Prior,290,160,8.2,V,BD,Z,,,2/4/2024,2024
F07,35,F07_35,F07_35,TEST,,Prior,500,430,8.8,M,-999,,,,2/4/2024,2024
F07,36,F07_36,F07_36,PONU,,Prior,370,430,53.5,V,EM,,,,2/4/2024,2024
F08,424,F08_424,F08_424,-999,,Prior,28,256,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F08,425,F08_425,F08_425,TEST,,Prior,60,65,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F08,426,F08_426,F08_426,TEST,,Prior,87,140,12,V,BD,,,,2/4/2024,2024
F08,427,F08_427,F08_427,-999,,Prior,87,202,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F08,428,F08_428,F08_428,NONI,,Prior,179,270,37.6,V,EM,I,,,2/4/2024,2024
F08,429,F08_429,F08_429,CAPA,,Prior,145,403,9.4,V,IN,r,,,2/4/2024,2024
F08,431,F08_431,F08_431,-999,,Prior,254,141,6.7,V,IN,I,,la especie es NP,2/4/2024,2024
F08,432,F08_432,F08_432,TEST,,Prior,415,82,6.1,M,-999,,,,2/4/2024,2024
F08,433,F08_433,F08_433,TEST,,Prior,220,52,27.8,V,BD,,,,2/4/2024,2024
F09,639,F09_639,F09_639,NONI,,Prior,150,430,41.8,V,EM,,,,2/4/2024,2024
F09,640,F09_640,F09_640,TEST,,Prior,160,180,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F10,997,F10_997,F10_997,CAPA,,Prior,125,278,7.2,V,IN,,,,2/4/2024,2024
F10,998,F10_998,F10_998,TEST,,Prior,12,48,11.2,V,BD,Z,,,2/4/2024,2024
F10,999,F10_999,F10_999,PONU,,Prior,65,340,45.8,V,EM,,,,2/4/2024,2024
F11,162,F11_162,F11_162,TEST,,Prior,165,275,6.5,M,-999,,,,2/4/2024,2024
F11,163,F11_163,F11_163,TEST,,Prior,165,250,25,M,-999,,,,2/4/2024,2024
F11,166,F11_166,F11_166,CRHO,,Prior,330,445,8.7,M,-999,,,,2/4/2024,2024
F11,167,F11_167,F11_167,CRHO,,Prior,360,470,6.3,M,-999,,,,2/4/2024,2024
F11,169,F11_169,F11_169,PONU,,Prior,310,175,21,V,DO,,,,2/4/2024,2024
F11,170,F11_170,F11_170,NONI,,Prior,385,120,26.1,M,-999,,,* 168 muerto,2/4/2024,2024
F11,171,F11_171,F11_171,TEST,,Prior,460,215,36,V,CD,Z,,,2/4/2024,2024
F12,431,F12_431,F12_431,CAPA,,Prior,140,450,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F12,432,F12_432,F12_432,CRHO,,Prior,450,30,8.8,V,IN,I,,,2/4/2024,2024
F13,305,F13_305,F13_305,CRHO,,Prior,50,90,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F13,306,F13_306,F13_306,CRHO,,Prior,130,160,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F14,400,F14_400,F14_400,CRHO,,Prior,420,280,11.5,M,-999,,,,2/4/2024,2024
F14,401,F14_401,F14_401,CAPA,,Prior,370,340,20,M,-999,,,,2/4/2024,2024
F14,402,F14_402,F14_402,TEST,,Prior,390,260,20.5,V,EM,Z,,,2/4/2024,2024
F14,403,F14_403,F14_403,TEST,,Prior,420,270,-999,A,-999,-999,,no encontrado,2/4/2024,2024
F14,488,F14_488,F14_488,DRWI,,Prior,160,330,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F14,489,F14_489,F14_489,CAPA,,Prior,410,180,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F14,54,F14_54,F14_54,TEST,,Prior,500,150,18.3,M,-999,,,,2/4/2024,2024
F14,55,F14_55,F14_55,CRHO,,Prior,500,160,17,M,-999,,,,2/4/2024,2024
F14,93,F14_93,F14_93,CRHO,,Prior,360,360,8.5,M,-999,A,,,2/4/2024,2024
F15,387,F15_387,F15_387,PONU,,Prior,225,475,13.2,V,CD,,,,2/4/2024,2024
F15,392,F15_392,F15_392,PONU,,Prior,130,240,43.7,V,EM,,,,2/4/2024,2024
F16,382,F16_382,F16_382,PONU,,Prior,140,430,13.5,V,IN,,,,2/4/2024,2024
F16,384,F16_384,F16_384,DRWI,,Prior,290,200,25.5,V,DO,,,,2/4/2024,2024
F16,385,F16_385,F16_385,TEST,,Prior,380,280,14.3,V,IN,I,,,2/4/2024,2024
F16,411,F16_411,F16_411,PONU,,Prior,70,480,17.5,V,CD,r,,,2/4/2024,2024
F18,363,F18_363,F18_363,TEST,,Prior,500,135,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F18,365,F18_365,F18_365,PONU,,Prior,260,350,46.1,V,EM,,,,2/4/2024,2024
F18,366,F18_366,F18_366,PONU,,Prior,140,330,11.3,V,CD,,,,2/4/2024,2024
F18,367,F18_367,F18_367,TEST,,Prior,450,0,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F18,368,F18_368,F18_368,PONU,,Prior,60,170,17.4,V,DO,,,,2/4/2024,2024
F18,371,F18_371,F18_371,TEST,,Prior,200,170,10.8,V,CD,Z,,,2/4/2024,2024
F18,38,F18_38,F18_38,CRHO,,Prior,160,340,5.9,M,-999,I,,,2/4/2024,2024
F18,405,F18_405,F18_405,TEST,,Prior,200,120,6.6,V,BD,I,,,2/4/2024,2024
F18,406,F18_406,F18_406,TEST,,Prior,320,420,5,M,-999,,,,2/4/2024,2024
F19,327,F19_327,F19_327,CAPA,,Prior,170,470,7.3,V,BD,A,,,2/4/2024,2024
F19,328,F19_328,F19_328,TEST,,Prior,260,400,9.3,V,BD,I,,,2/4/2024,2024
F19,329,F19_329,F19_329,PONU,,Prior,180,360,9.5,V,BD,I,,,2/4/2024,2024
F19,333,F19_333,F19_333,CRHO,,Prior,260,375,6.5,M,BD,A,,,2/4/2024,2024
F19,335,F19_335,F19_335,TEST,,Prior,440,360,7.5,M,-999,,,,2/4/2024,2024
F20,49,F20_49,F20_49,MYPA,,Prior,0,280,6.4,V,BD,I,,,2/4/2024,2024
F20,50,F20_50,F20_50,TEST,,Prior,130,370,10,V,BD,I,,,2/4/2024,2024
F20,51,F20_51,F20_51,TEST,,Prior,90,120,16,V,BD,I,,,2/4/2024,2024
F20,52,F20_52,F20_52,MYPA,,Prior,200,183,7,M,-999,A,,,2/4/2024,2024
F20,54,F20_54,F20_54,MYPA,,Prior,235,250,8.3,V,BD,I,,,2/4/2024,2024
F20,55,F20_55,F20_55,MYPA,,Prior,235,170,6.3,V,BD,I,,,2/4/2024,2024
F20,56,F20_56,F20_56,CRHO,,Prior,430,250,-999,A,-999,-999,,No encontrado,2/4/2024,2024
F20,57,F20_57,F20_57,CAPA,,Prior,430,230,9.9,V,DO,r,,,2/4/2024,2024
F20,58,F20_58,F20_58,CRHO,,Prior,340,380,-999,M,-999,,,,2/4/2024,2024
F20,59,F20_59,F20_59,TEST,,Prior,390,210,13.9,V,BD,I,,,2/4/2024,2024
F20,60,F20_60,F20_60,CAPA,,Prior,360,120,6.4,V,BD,A,,,2/4/2024,2024
F20,61,F20_61,F20_61,CRHO,,Prior,420,150,5.3,V,IN,A,,,2/4/2024,2024
F20,62,F20_62,F20_62,CRHO,,Prior,330,50,7.7,M,-999,I,,,2/4/2024,2024
F20,63,F20_63,F20_63,CRHO,,Prior,450,60,7.7,V,IN,I,,,2/4/2024,2024
F20,64,F20_64,F20_64,TEST,,Prior,500,180,29.8,V,EM,,,diametro sobrestimado por lianas,2/4/2024,2024
G01,828,G01_828,G01_828,PONU,,Prior,110,120,10.5,V,IN,,,,2/5/2024,2024
G01,829,G01_829,G01_829,TEST,,Prior,280,270,11.3,V,BD,I,,,2/5/2024,2024
G01,830,G01_830,G01_830,TEST,,Prior,490,390,16.6,V,BD,I,,,2/5/2024,2024
G01,831,G01_831,G01_831,TEST,,Prior,350,420,20,V,IN,r,,,2/5/2024,2024
G01,832,G01_832,G01_832,TEST,,Prior,450,435,21,V,IN,I,,,2/5/2024,2024
G01,833,G01_833,G01_833,TEST,,Prior,485,500,5.8,V,BD,I,,,2/5/2024,2024
G01,834,G01_834,G01_834,PONU,,Prior,433,390,6.4,M,-999,,Dq,,2/5/2024,2024
G02,1422,G02_1422,G02_1422,TEST,,Prior,300,420,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G02,1423,G02_1423,G02_1423,TEST,,Prior,380,340,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G02,1424,G02_1424,G02_1424,TEST,,Prior,420,340,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G02,1425,G02_1425,G02_1425,TEST,,Prior,460,370,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G02,1426,G02_1426,G02_1426,TEST,,Prior,400,280,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G02,1466,G02_1466,G02_1466,TEST,,Prior,310,160,14.3,V,BD,r,,,2/5/2024,2024
G02,1467,G02_1467,G02_1467,TEST,,Prior,320,170,8.8,V,BD,r,,,2/5/2024,2024
G02,1468,G02_1468,G02_1468,TEST,,Prior,350,160,11,V,BD,r,,,2/5/2024,2024
G02,1469,G02_1469,G02_1469,TEST,,Prior,370,50,15,V,BD,I,,Medicion mas abajo del dap,2/5/2024,2024
G02,1470,G02_1470,G02_1470,TEST,,Prior,350,25,14.5,V,BD,r,,,2/5/2024,2024
G02,1471,G02_1471,G02_1471,TEST,,Prior,320,0,17.2,V,IN,r,,,2/5/2024,2024
G02,1472,G02_1472,G02_1472,TEST,,Prior,390,260,23.2,V,IN,A,,Esta hacia plot H,2/5/2024,2024
G02,1473,G02_1473,G02_1473,TEST,,Prior,460,260,11.5,V,IN,A,,,2/5/2024,2024
G03,1044,G03_1044,G03_1044,TEST,,Prior,77,77,8.9,V,BD,r,,,2/5/2024,2024
G03,1045,G03_1045,G03_1045,TEST,,Prior,170,150,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G03,1047,G03_1047,G03_1047,TEST,,Prior,197,111,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G03,1048,G03_1048,G03_1048,TEST,,Prior,60,365,7.1,V,CD,I,,,2/5/2024,2024
G03,2206,G03_2206,G03_2206,TEST,,Prior,20,90,12.5,V,BD,r,,No se encontro placa,2/5/2024,2024
G04,1195,G04_1195,G04_1195,TEST,,Prior,100,340,33.8,V,IN,r,,,2/5/2024,2024
G04,1196,G04_1196,G04_1196,TEST,,Prior,0,70,12.9,V,CD,Z,,,2/5/2024,2024
G04,1197,G04_1197,G04_1197,TEST,,Prior,130,50,11.1,V,IN,A,,,2/5/2024,2024
G04,1198,G04_1198,G04_1198,TEST,,Prior,270,100,13,V,BD,I,,Placas mirando hacia el cielo,2/5/2024,2024
G04,1199,G04_1199,G04_1199,TEST,,Prior,310,70,7.5,V,BD,I,,,2/5/2024,2024
G05,928,G05_928,G05_928,TEST,,Prior,260,5,11.1,V,IN,I,,,2/5/2024,2024
G05,929,G05_929,G05_929,TEST,,Prior,190,390,5.4,V,BD,I,,,2/5/2024,2024
G05,931,G05_931,G05_931,TEST,,Prior,280,310,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G05,932,G05_932,G05_932,TEST,,Prior,300,270,-999,M,-999,,,,2/5/2024,2024
G05,933,G05_933,G05_933,TEST,,Prior,300,260,11.8,M,-999,,,,2/5/2024,2024
G06,848,G06_848,G06_848,TEST,,Prior,0,75,-999,A,-999,-999,,No encontrado,2/5/2024,2024
G06,849,G06_849,G06_849,DRWI,,Prior,140,82,20.1,V,IN,A,,,2/5/2024,2024
G06,850,G06_850,G06_850,TEST,,Prior,230,0,6.5,M,-999,,,,2/5/2024,2024
G06,851,G06_851,G06_851,TEST,,Prior,244,116,8.4,V,BD,A,,,2/5/2024,2024
G06,852,G06_852,G06_852,PONU,,Prior,244,250,17.4,V,EM,,,Mucha liana,2/5/2024,2024
G06,853,G06_853,G06_853,PONU,,Prior,320,170,13.8,V,CD,I,,,2/5/2024,2024
G06,854,G06_854,G06_854,TEST,,Prior,320,43,7.1,V,BD,I,,,2/5/2024,2024
G06,855,G06_855,G06_855,TEST,,Prior,320,60,6.1,V,BD,I,,,2/5/2024,2024
G06,856,G06_856,G06_856,TEST,,Prior,450,40,7.2,V,BD,I,,,2/5/2024,2024
G07,202,G07_202,G07_202,SACO,,Prior,60,220,12.5,V,CD,,,,2/5/2024,2024
G07,203,G07_203,G07_203,NONI,,Prior,80,250,23,V,EM,Z,,,2/5/2024,2024
G07,204,G07_204,G07_204,SACO,,Prior,60,470,19.9,M,-999,,C,Arbol caido,2/5/2024,2024
G08,434,G08_434,G08_434,SACO,,Prior,120,427,8.1,V,BD,I,,,2/5/2024,2024
G08,435,G08_435,G08_437,SACO,R1,Prior,163,411,5.8,V,BD,A,,,2/5/2024,2024
G08,436,G08_436,G08_437,SACO,R1,Prior,71,444,5.8,V,BD,A,,,2/5/2024,2024
G08,437,G08_437,G08_437,SACO,R1,Prior,44,411,5.8,V,BD,A,,,2/5/2024,2024
G08,438,G08_438,G08_438,NONI,,Prior,88,363,44.1,V,CD,,,,2/5/2024,2024
G08,439,G08_439,G08_439,PONU,,Prior,138,383,12.6,V,BD,I,,,2/5/2024,2024
G08,440,G08_440,G08_440,PONU,,Prior,70,337,15,V,BD,A,,,2/5/2024,2024
G08,671,G08_671,G08_671,CRHO,,Prior,420,200,5.8,V,BD,Z,,,2/5/2024,2024
G08,672,G08_672,G08_672,TEST,,Prior,150,494,18.9,V,IN,,,,2/5/2024,2024
G08,673,G08_673,G08_673,TEST,,Prior,230,498,25.9,V,CD,,,,2/5/2024,2024
G09,641,G09_641,G09_641,TEST,,Prior,240,30,7,V,IN,Z,,,2/5/2024,2024
G09,642,G09_642,G09_643,TEST,R1,Prior,70,60,7.8,V,IN,,,,2/5/2024,2024
G09,643,G09_643,G09_643,TEST,R1,Prior,70,40,8.8,V,IN,I,,,2/5/2024,2024
G09,644,G09_644,G09_644,NONI,,Prior,330,110,37.3,V,EM,,,,2/5/2024,2024
G09,645,G09_645,G09_645,TEST,,Prior,240,120,8.4,V,BD,A,,,2/5/2024,2024
G09,646,G09_646,G09_646,CRHO,,Prior,275,110,8,M,-999,A,,,2/5/2024,2024
G09,648,G09_648,G09_648,SACO,,Prior,340,350,5.9,V,BD,,,,2/5/2024,2024
G10,1000,G10_1000,G10_1000,-999,,Prior,210,370,-999,M,-999,,,Nos llevamos la placa,2/5/2024,2024
G10,501,G10_501,G10_501,TEST,,Prior,55,175,9,V,BD,Z,,,2/5/2024,2024
G10,502,G10_502,G10_502,TEST,,Prior,85,190,9.5,V,BD,I,,Es la rama la que esta viva,2/5/2024,2024
G10,503,G10_503,G10_503,TEST,,Prior,127,240,8.8,M,BD,r,,,2/5/2024,2024
G10,504,G10_504,G10_504,TEST,,Prior,153,256,8,M,BD,r,,,2/5/2024,2024
G10,505,G10_505,G10_505,CAPA,,Prior,370,50,5.4,V,BD,r,,,2/5/2024,2024
G11,172,G11_172,G11_172,PONU,,Prior,45,110,31.3,V,DO,,,,2/5/2024,2024
G11,173,G11_173,G11_173,CRHO,,Prior,160,185,7.5,V,BD,Z,,,2/5/2024,2024
G11,174,G11_174,G11_174,TEST,,Prior,0,460,6.2,V,BD,I,,Placa oculta en lo alto,2/5/2024,2024
G11,175,G11_175,G11_175,CRHO,,Prior,210,470,5.9,V,BD,,,,2/5/2024,2024
G12,2201,G12_2201,G12_2201,TEST,,Prior,290,330,30,V,CD,I,,Se cambia la placa a 2201 porque la anterior no fue encontrada,2/5/2024,2024
