quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
A17,504,A17_504,A17_504,AMME,,Prior,0,210,7.3,V,IN,,,,2/3/2024,2024
A17,505,A17_505,A17_505,CAPA,,Prior,80,277,23.2,V,IN,,,,2/3/2024,2024
A17,506,A17_506,A17_506,CAPA,,Prior,90,300,5,V,IN,,,mal medido,2/3/2024,2024
A17,507,A17_507,A17_507,CAPA,,Prior,167,373,5.4,V,DO,,,mal medido,2/3/2024,2024
A17,508,A17_508,A17_508,CAPA,,Prior,175,280,6.5,V,CD,,,,2/3/2024,2024
A17,509,A17_509,A17_509,TEST,,Prior,190,270,6.4,V,DO,,,,2/3/2024,2024
A17,510,A17_510,A17_510,TEST,,Prior,230,270,22.5,V,DO,,,,2/3/2024,2024
A17,542,A17_542,A17_542,TEST,,Prior,270,5,9.9,V,DO,,,,2/3/2024,2024
A17,99,A17_99,A17_99,CAPA,,Prior,210,420,6.5,V,BD,,,,2/3/2024,2024
A18,2308,A18_2308,A18_2308,DRWI,,Prior,110,160,22,V,EM,,,2308 (reemplazado),2/3/2024,2024
A18,361,A18_361,A18_361,NONI,,Prior,0,300,10,M,-999,,,,2/3/2024,2024
A18,362,A18_362,A18_362,TEST,,Prior,80,357,11.3,V,EM,,,,2/3/2024,2024
A18,363,A18_363,A18_363,DRWI,,Prior,140,470,13.5,V,CD,,,,2/3/2024,2024
A18,364,A18_364,A18_364,DRWI,,Prior,140,425,17,V,CD,,,,2/3/2024,2024
A18,365,A18_365,A18_365,DRWI,,Prior,153,385,6,M,-999,,,,2/3/2024,2024
A18,366,A18_366,A18_366,DRWI,,Prior,189,480,11.7,V,CD,,,,2/3/2024,2024
A18,367,A18_367,A18_367,NONI,,Prior,228,440,10.4,V,CD,,,,2/3/2024,2024
A18,369,A18_369,A18_369,CAPA,,Prior,300,450,8,M,-999,I,,,2/3/2024,2024
